Company,Year_Founded,Segment,HQ,Total_Funding_USD_Est,Key_Product_Focus,Investors,Funding_Round_Type,Last_Funding_Date,Revenue_Model,Key_Customer_Type,Global_Competitor,Employees_Range
Skyroot Aerospace,2018,Launch Vehicles,Hyderabad,$99.8M,"Vikram-series orbital rockets, small-sat dedicated launches","Temasek, GIC, Sherpalo Ventures, Greenko Group, Arkam Ventures, Solar Industries, AUM Ventures",Series B (Pre-Series C),Oct-2023,Launch-as-a-Service,"Satellite operators, government agencies, ISRO rideshare",SpaceX / Rocket Lab / Firefly Aerospace,251-500
Pixxel,2019,Earth Observation,Bengaluru,$95M,"Hyperspectral satellite constellation (Firefly), Aurora analytics platform","Google, Radical Ventures, Seraphim Space, Lightspeed India, Omnivore VC, M&G Catalyst, Glade Brook Capital",Series B,Jan-2025,Data-as-a-Service,"Agriculture companies, mining firms, govt agencies, Rio Tinto, BP, NASA CSDA program",Planet Labs / Satellogic / Maxar,151-200
Agnikul Cosmos,2017,Launch Vehicles,Chennai,$85.8M,"3D-printed Agnibaan rockets, Agnilet engine, private launchpad at Sriharikota","HDFC Bank, 100X.VC, Advenza Global, Artha Select Fund, Anand Mahindra (personal), Entrepreneurs like pi Ventures",Pre-Series B,Nov-2025,Launch-as-a-Service,"Small satellite operators, research institutions, ISRO-tied missions",Rocket Lab / ABL Space / PLD Space,101-200
NewSpace Research,2018,Aerospace/UAS,Bengaluru,$73.3M,"Unmanned systems, collective robotics, defence drones","Defence funds, strategic investors (undisclosed)",Series A,2023,Defence Contract,"Indian Armed Forces, DRDO, MoD",Shield AI / Joby Aviation (defence UAS),201-500
EtherealX,2022,Spacecraft,Bengaluru,$25.5M,"Next-gen launch vehicles, reusable spacecraft concepts","Speciale Invest, SOSV, undisclosed angels",Seed,2024,Launch-as-a-Service,Small satellite operators,Relativity Space / Stoke Space,11-50
SatSure,2017,Data Analytics,Bengaluru,$29.5M,"Decision intelligence platform for agriculture, BFSI, infrastructure; KaleidEO EO data platform","Baring PE Partners India, TransUnion CIBIL, Promus Ventures, Omidyar Network India, HDFC Life Insurance, ICICI Bank",Series A,Sep-2025,SaaS Platform,"Banks (crop loan risk), insurance firms, agri ministries, Africa/LatAm expansion",Gro Intelligence / Descartes Labs / Farmonaut,101-200
Dhruva Space,2012,Satellite Systems,Hyderabad,$21.8M,"Full-stack satellite platforms, Solis+ solar panels, ground-station-as-a-service","Speciale Invest, pi Ventures, undisclosed family offices",Series A,2023,Ground Infrastructure + Hardware Sales,"ISRO, defence clients, private satellite operators, Pixxel (Solis+ partner)",AAC Clyde Space / EnduroSat / GomSpace,101-150
Digantara,2018,SSA,Bengaluru,$100M+,"Space-MAP debris tracking platform, SCOT surveillance satellite, AIRA sensing platform","Peak XV Partners (Sequoia India), Kalaari Capital, 360 ONE Asset, SBI Investment (Japan), Ronnie Screwvala, Aditya Birla Group, SIDBI Venture Capital",Series B,Apr-2026,Data-as-a-Service,"Satellite operators, US Space Command, Missile Defense Agency, defence agencies globally",LeoLabs / ExoAnalytic / SpaceFence (Lockheed),51-150
GalaxEye,2021,Earth Observation,Bengaluru,$18.8M,"Multi-sensor SAR + optical imaging (Drishti mission), all-weather EO","pi Ventures, Speciale Invest, Endiya Partners, undisclosed angels",Series A,Mar-2026,Data-as-a-Service,"Govt agencies, defence, disaster management, maritime surveillance",ICEYE / Capella Space / Umbra,51-100
InspeCity,2022,Space Robotics,Mumbai,$12M,"In-orbit satellite servicing, space station modules, orbital mechanics","SINE (IIT Bombay incubator), undisclosed angels and family offices",Seed,2023,Hardware Sales + Defence Contract,"Govt agencies, ISRO, future commercial satellite operators",Astroscale / Northrop Grumman (MEV),11-50
Bellatrix Aerospace,2015,Propulsion,Bengaluru,$34.4M,"Electric Hall-effect thrusters, green chemical propulsion, water-based plasma thrusters","Speciale Invest, ISRO Startup Program, undisclosed VCs",Series A,Mar-2026,Hardware Sales,"Satellite manufacturers, ISRO missions, Skyroot (propulsion partner)",Enpulsion / Bradford ECAPS / Aerojet,51-100
PierSight,2023,Earth Observation,Ahmedabad,$6.0M,"SAR + AIS maritime surveillance constellation, 30-min revisit EO","Alpha Wave Ventures, Elevation Capital, Techstars, All In Capital, angels",Seed,Jan-2024,Data-as-a-Service,"Maritime shipping, coast guard, insurance, oil & gas",Unseenlabs / HawkEye 360 / Sealog,11-50
Astrogate Labs,2017,Communications,Bengaluru,$2.2M,Laser optical communication terminals for space-to-ground links,"Speciale Invest, 100Unicorns, SatSure (strategic investor), Piper Serica",Seed,Feb-2025,Hardware Sales,Satellite operators needing high-bandwidth downlinks,Mynaric / BridgeComm / LASER Zentrum,11-50
Manastu Space,2017,Propulsion,Mumbai,$6.7M,"Green hydrogen peroxide propulsion, in-orbit refueling & debris removal services","Speciale Invest, SINE (IIT Bombay), pi Ventures",Seed,2023,Hardware Sales + SaaS Platform,"Satellite manufacturers seeking non-toxic propellants, ISRO",Enpulsion / Bradford ECAPS / Benchmark Space,11-50
Aadyah Aerospace,2016,Satellite Systems,Bengaluru,$8.4M,"Satellite bus platforms, precision components, AI-based vision systems for space","Defence incubation funds, undisclosed strategic investors",Seed,2023,Hardware Sales + Defence Contract,"ISRO, defence sector, satellite OEMs",Surrey Satellite Technology / NanoAvionics,51-100
Azista BST Aerospace,2019,Satellite Systems,Hyderabad,$4.6M,"Mass-produced small satellite buses, Kepler Aerospace platform partner","Azista Industries (parent), IN-SPACe grants",Seed + Govt Grant,2024,Hardware Sales,"Domestic and international satellite operators, Kepler Aerospace",ISISpace / NanoAvionics / EnduroSat,51-100
Raphe mPhibr,2017,Aerospace/Drones,Noida,$51.6M,"High-end carbon fiber drones, composite structures for space vehicles, surveillance UAVs","Defence funds, Ministry of Defence procurement, strategic investors",Series A,2023,Defence Contract + Hardware Sales,"Indian Armed Forces, para-military, DRDO",Shield AI / AEROVIRONMENT / L3Harris (drones),201-500
SatLeo Labs,2023,Earth Observation,Ahmedabad,$5.5M,"Thermal infrared intelligence microsatellites, heat anomaly detection","Speciale Invest, angel investors",Seed,Apr-2026,Data-as-a-Service,"Industrial facilities, fire monitoring, energy sector, govt",Satellogic / Planet Labs / OroraTech,11-50
TakeMe2Space,2023,Satellite Systems,Hyderabad,$5.0M,"Open-access LEO satellite infrastructure, plug-and-play satellite buses","Early-stage angels, undisclosed accelerators",Seed,Jan-2026,Hardware Sales + Ground Infrastructure,"Student research missions, SMEs needing low-cost LEO access",GomSpace / EnduroSat / Libre Space,11-50
XDLINX Labs,2022,Satellite Systems,Hyderabad,$7.2M,"Advanced nanosatellite platforms for ISR (Intelligence, Surveillance, Reconnaissance)","Defence angels, undisclosed VCs",Seed,2023,Hardware Sales + Defence Contract,"Indian defence sector, DRDO, state agencies",Maxar (small-sat) / Planet / Umbra,11-50
VestaSpace,2018,Satellite Systems,Pune,$10.0M,"Compact satellite missions, IoT connectivity via LEO constellation","Seed investors, undisclosed angels",Seed,2022,Ground Infrastructure + Hardware Sales,"IoT connectivity clients, agriculture sensor networks, smart city",Lacuna Space / Kepler Communications,11-50
SpaceFields,2021,Propulsion,Bengaluru,$5.0M,"Dual-use solid rocket motors, propulsion for defence and civil missions","IDEX (iDEX Prime defence grant), angels",Pre-Series A,Sep-2025,Hardware Sales + Defence Contract,"DRDO, defence aerospace firms, ISRO",Nammo / Aerojet / Roketsan,11-50
Elena Geo Systems,2012,Navigation,Bengaluru,$2.0M,"NavIC-based navigation devices, Indonesia PSN satellite navigation partnership","Angel investors, undisclosed strategic",Seed,2022,Hardware Sales,"Government, transport, logistics, telecom (Indonesia PSN partnership)",Trimble / Hexagon / u-blox,11-50
Kawa Space,2019,Earth Observation,Bengaluru,$1.8M,"Satellite dataset processing, application layer for EO analytics, geospatial insights","Speciale Invest, angels",Seed,2022,SaaS Platform,"Govt agencies, agri-analytics firms, EO data resellers",Sinergise / Descartes Labs / UP42,11-50
Grahaa Space,2018,Earth Observation,Bengaluru,$1.2M,"AI-enabled near-real-time video from space, hyperspectral + video microsatellites","Early angel investors, undisclosed",Seed,2022,Data-as-a-Service,"Media, disaster response, border surveillance, govt",BlackSky / Satellogic,11-50
Abyom SpaceTech,2020,Launch Vehicles,Noida,$2.5M,"Reusable launch vehicle technology, plug-and-play engine test platform","Seed investors, undisclosed angels",Seed,2023,Launch-as-a-Service,Small satellite operators — pre-revenue,Rocket Lab / PLD Space,11-50
Antsys,2019,Communications,Noida,$0.8M,RF & antenna systems for anti-drone defence and satellite communications,Early angel investors,Pre-Seed,2021,Hardware Sales + Defence Contract,"Indian military, anti-drone agencies",Leonardo DRS / Cobham / L3Harris,11-50
Delta-V Robotics,2018,Propulsion,Bengaluru,$1.0M,Liquid & electric propulsion systems for small spacecraft,Angel investors,Pre-Seed,2021,Hardware Sales,Small satellite manufacturers,Enpulsion / Aerojet / Phase Four,11-50
Kalpana Systems,2022,Ground Stations,Bengaluru,$0.5M,Modular ground stations for satellite telemetry and command,"Seed angels, IIT incubator",Pre-Seed,2022,Ground Infrastructure,"Small satellite operators, research institutions",KSAT / Leaf Space / RBC Signals,11-50
IdeaForge,2007,Aerospace/Drones,Mumbai,$150.0M,"Surveillance drones (SWITCH UAV), dual-use military-civil drones — listed company","Infosys, Qualcomm, Florintree Capital, public market (BSE-listed)",IPO (BSE Listed),2023,Hardware Sales + Defence Contract,"Indian Army, police, border security, survey agencies",DJI / AEROVIRONMENT / Parrot,501-1000
SatSure (KaleidEO),2017,Data Analytics,Bengaluru,$29.5M,EO data platform — KaleidEO subsidiary provides analysis-ready satellite data to enterprises,"Baring PE Partners India, TransUnion CIBIL, Promus Ventures",Series A,Jun-2023,Data-as-a-Service,"Enterprises needing EO data APIs, banks, agri firms",Sentinel Hub / UP42 / Planet NICFI,51-100
Astrome Technologies,2016,Communications,Bengaluru,$7.5M,"mmWave broadband satellite communication, satellite swarm comms (Kepler partnership)","pi Ventures, Speciale Invest, Kepler Aerospace (partnership)",Seed,2024,Hardware Sales + SaaS Platform,"Telecom operators, rural broadband, satellite operators",OneWeb / SpaceX Starlink (indirect),51-100
Exseed Space,2018,Satellite Systems,Mumbai,$3.0M,"CubeSat platforms, amateur radio payloads, student satellite missions","Crowd-funding, angels, ESERO India",Seed,2022,Hardware Sales,"Universities, research labs, amateur radio community",GomSpace / Pumpkin Inc / Clyde Space,11-50
OmSpace Rocket and Technology,2020,Launch Vehicles,Bengaluru,$2.2M,"Modular small launch vehicles, propulsion subsystems","Early angels, IN-SPACe ecosystem grants",Seed,2023,Launch-as-a-Service,Small satellite operators — pre-revenue,Rocket Lab / Exolaunch,11-50
Ananth Technologies,1992,Satellite Systems,Hyderabad,$15.0M,"Satellite sub-systems, electronic systems for ISRO and defence, SSA partnership with Digantara",Established self-funded + Govt contracts,Debt + Govt Contract,2024,Hardware Sales + Defence Contract,"ISRO (major supplier), DRDO, Indian Navy",Thales Alenia / Honeywell Aerospace,201-500
Paras Defence,2009,Aerospace/Defence,Navi Mumbai,$25.0M,"Space optics, EMP protection, defence electronics — listed company","Public market (BSE SME listed), promoter-held",IPO (Mainboard),2021,Hardware Sales + Defence Contract,"ISRO, DRDO, Indian Navy, Coast Guard",Elbit Systems / L3Harris / Thales,201-500
Data Patterns,1993,Aerospace/Defence,Chennai,$30.0M,"Defence electronics, avionics, radar systems, space-grade electronics — listed company","Public market (NSE listed), promoter-held",IPO (NSE Listed),2021,Hardware Sales + Defence Contract,"ISRO, Indian Air Force, Navy, Army",BAE Systems / Bharat Electronics (BEL),1001-5000
Sisine Space (Sisir Radar),2021,Earth Observation,Kolkata,$3.5M,"Indigenous SAR (Synthetic Aperture Radar) for all-weather EO, Nibe Defence partnership","Seed investors, defence incubation",Seed,2023,Data-as-a-Service + Hardware Sales,"Defence sector, disaster management, maritime",ICEYE / Umbra / Capella Space,11-50
Synergia Space,2022,Satellite Systems,Bengaluru,$2.0M,"Small satellite bus platforms, modular satellite architecture","Angels, incubators",Pre-Seed,2023,Hardware Sales,"Research institutions, small satellite operators",GomSpace / AAC Clyde Space,11-50
OrbitAID Aerospace,2021,Space Robotics,Bengaluru,$1.5M,"In-orbit servicing, satellite life extension, debris removal robotics","Seed investors, IN-SPACe startup ecosystem",Pre-Seed,Jan-2025,Hardware Sales + Defence Contract,"Govt satellite operators, insurance firms, commercial operators",Astroscale / ClearSpace / D-Orbit,11-50
