Company,Year_Founded,Segment,HQ,Total Funding (Est.),Key Product/Focus
Skyroot Aerospace,2018,Launch Vehicles,Hyderabad,$99.8M,Vikram-series orbital rockets
Pixxel,2019,Earth Observation,Bengaluru,$95M,Hyperspectral satellite constellation
Agnikul Cosmos,2017,Launch Vehicles,Chennai,$85.8M,3D-printed Agnibaan rockets
NewSpace Research,2018,Aerospace/UAS,Bengaluru,$73.3M,Unmanned systems & collective robotics
EtherealX,2022,Spacecraft,Bengaluru,$25.5M,Next-gen launch vehicles & spacecraft
SatSure,2017,Data Analytics,Bengaluru,$24.6M,Decision intelligence for Agri/Fintech
Dhruva Space,2012,Satellite Systems,Hyderabad,$21.8M,Full-stack satellite platforms
Digantara,2018,SSA,Bengaluru,$14.4M,Space Situational Awareness (debris tracking)
GalaxEye,2021,Earth Observation,Bengaluru,$13.6M,Multi-sensor imaging (Drishti mission)
InspeCity,2022,Space Robotics,Mumbai,$12M,In-orbit satellite servicing & mechanics
Bellatrix Aerospace,2015,Propulsion,Bengaluru,$30M,Electric & Chemical propulsion for satellites.
PierSight,2023,Earth Observation,Ahmedabad,$8.0M,SAR & AIS-based maritime surveillance.
Astrogate Labs,2017,Communications,Bengaluru,$2.2M,Laser communication terminals (Optical) for space.
Manastu Space,2017,Propulsion,Mumbai,$6.7M,Green propulsion & in-space refueling services.
Aadyah Aerospace,2016,Satellite Systems,Bengaluru,$8.4M,Satellite bus platforms & precision components.
Azista BST Aerospace,2019,Satellite Systems,Ahmedabad,$4.6M,Mass production of small satellite buses.
Raphe mPhibr,2017,Aerospace/Drones,Noida,$51.6M,High-end carbon fiber drones & space composites
SatLeo Labs,2023,Earth Observation,Ahmedabad,$5.5M,Thermal intelligence using microsatellites
TakeMe2Space,2023,Satellite Systems,Hyderabad,$5.6M,Open-access LEO satellite infrastructure & buses
XDLINX Labs,2022,Satellite Systems,Hyderabad,$7.2M,Advanced nanosatellite platforms for ISR
VestaSpace,2018,Satellite Systems,Pune,$10.0M,Compact satellite missions & IoT connectivity
SpaceFields,2021,Propulsion,Bengaluru,$5.0M,Dual-use rocket engines & solid motors
Elena Geo Systems,2012,Navigation,Bengaluru,$2.0M,Country's first NavIC-based handheld devices
Kawa Space,2019,Earth Observation,Bengaluru,$1.8M,Satellite dataset processing & application layer
Grahaa Space,2018,Earth Observation,Bengaluru,$1.2M,AI-enabled near-real-time video from space
Abyom SpaceTech,2020,Launch Vehicles,Noida,$1.5M,Reusable launch vehicle tech & testing
Antsys,2019,Communications,Noida,$0.8M,RF & Antenna systems for anti-drone/space
Delta-V Robotics,2018,Propulsion,Bengaluru,$1.0M,Liquid & Electric propulsion for spacecraft
Kalpana Systems,2022,Ground Stations,Bengaluru,$0.5M,Modular ground stations for satellite telemetry
IdeaForge,2007,Aerospace/Drones,Mumbai,$150.0M,Surveillance drones (Publicly listed comparison)